time,waiting time,queue length,departure rate,phase
0,0.0,0.5,0,1
1,0.0,0.5,0,1
2,0.0,0.5,0,1
3,0.0,1.0,0,1
4,0.0,1.0,0,1
5,0.0,1.3333333333333333,0,1
6,0.0,1.5,0,2
7,0.0,1.5,0,2
8,0.0,1.8333333333333333,0,2
9,0.0,2.0,0,3
10,0.0,2.0,0,3
11,0.0,2.0,0,3
12,0.0,2.333333333333333,0,3
13,0.1428571428571428,2.333333333333333,0,3
14,0.2666666666666666,2.5,0,3
15,0.375,2.6666666666666665,0,3
16,0.5,2.6666666666666665,0,3
17,0.6470588235294118,2.833333333333333,0,3
18,0.8333333333333334,3.0,0,3
19,1.0555555555555556,3.0,0,3
20,1.3157894736842106,3.1666666666666665,1,3
21,1.55,3.333333333333333,0,3
22,1.761904761904762,3.5,0,3
23,2.142857142857143,3.5,0,3
24,2.409090909090909,3.6666666666666665,0,3
25,2.6956521739130435,3.8333333333333335,1,3
26,3.0,4.0,0,3
27,3.36,4.166666666666667,0,3
28,3.84,4.166666666666667,1,3
29,4.153846153846154,4.333333333333333,0,3
30,4.285714285714286,4.666666666666667,0,3
31,5.153846153846154,4.333333333333333,1,3
32,5.518518518518518,4.5,1,3
33,5.689655172413793,4.833333333333333,1,3
34,6.275862068965517,4.833333333333333,0,3
35,6.896551724137931,4.833333333333333,0,3
36,7.032258064516129,5.166666666666667,0,3
37,7.645161290322581,5.166666666666667,1,4
38,8.0,5.333333333333333,0,4
39,8.393939393939394,5.5,0,4
40,8.794117647058824,5.666666666666667,1,4
41,9.441176470588236,5.666666666666667,1,4
42,9.82857142857143,5.833333333333333,0,4
43,10.514285714285714,5.833333333333333,1,5
44,10.88888888888889,6.0,0,5
45,10.692307692307692,6.5,0,5
46,9.057142857142855,5.833333333333333,0,0
47,6.8,5.833333333333333,1,0
48,4.368421052631579,6.333333333333333,0,0
49,3.142857142857143,5.833333333333333,0,0
50,1.8857142857142857,5.833333333333333,0,0
51,0.972972972972973,6.166666666666667,1,0
52,0.7222222222222222,6.0,0,0
53,0.5,6.0,1,0
54,0.5714285714285714,5.833333333333333,0,0
55,0.6388888888888888,6.0,1,0
56,0.8571428571428571,5.833333333333333,2,0
57,1.0857142857142856,5.833333333333333,1,0
58,1.3428571428571427,5.833333333333333,2,0
59,1.6571428571428573,5.833333333333333,1,0
60,2.0294117647058822,5.666666666666667,1,0
61,2.342857142857143,5.833333333333333,2,0
62,2.8181818181818183,5.5,2,0
63,3.3125,5.333333333333333,1,0
64,3.6176470588235294,5.666666666666667,3,0
65,4.212121212121212,5.5,0,0
66,4.5588235294117645,5.666666666666667,2,0
67,5.117647058823529,5.666666666666667,2,0
68,5.848484848484849,5.5,2,0
69,6.65625,5.333333333333333,2,0
70,6.441176470588236,5.666666666666667,1,0
71,5.666666666666667,5.5,1,0
72,4.911764705882353,5.666666666666667,2,0
73,4.514285714285714,5.833333333333333,1,0
74,4.771428571428571,5.833333333333333,1,1
75,5.085714285714285,5.833333333333333,0,1
76,5.428571428571429,5.833333333333333,1,1
77,5.828571428571428,5.833333333333333,1,1
78,6.228571428571429,5.833333333333333,1,1
79,6.472222222222222,6.0,0,1
80,6.916666666666667,6.0,2,2
81,7.162162162162162,6.166666666666667,1,2
82,7.282051282051282,6.5,0,2
83,6.184210526315789,6.333333333333333,1,3
84,5.105263157894737,6.333333333333333,2,3
85,3.925,6.666666666666667,2,3
86,3.225,6.666666666666667,1,3
87,2.6341463414634148,6.833333333333333,0,3
88,2.2142857142857144,7.0,0,3
89,2.0,7.0,0,3
90,2.0,7.0,0,3
91,2.452380952380953,7.0,0,3
92,2.4545454545454546,7.333333333333333,0,3
93,2.727272727272727,7.333333333333333,2,3
94,3.066666666666667,7.5,0,3
95,3.4,7.5,2,3
96,3.844444444444445,7.5,0,3
97,4.311111111111111,7.5,0,3
98,4.777777777777778,7.5,1,3
99,5.085106382978723,7.833333333333333,0,3
100,5.595744680851064,7.833333333333333,2,3
101,6.127659574468085,7.833333333333333,0,3
102,6.826086956521739,7.666666666666667,0,3
103,6.959183673469388,8.166666666666666,2,3
104,7.708333333333333,8.0,0,3
105,8.48936170212766,7.833333333333333,1,3
106,8.755102040816327,8.166666666666666,1,3
107,9.408163265306122,8.166666666666666,1,3
108,10.291666666666666,8.0,1,3
109,10.54,8.333333333333334,1,3
110,11.22,8.333333333333334,0,3
111,12.142857142857142,8.166666666666666,1,4
112,12.6,8.333333333333334,1,4
113,13.875,8.0,1,4
114,14.346938775510203,8.166666666666666,0,4
115,14.8,8.333333333333334,1,4
116,16.1875,8.0,1,4
117,16.612244897959183,8.166666666666666,1,5
118,17.04,8.333333333333334,0,5
119,17.470588235294116,8.5,1,5
120,16.74468085106383,7.833333333333333,1,0
121,14.479166666666666,8.0,0,0
122,12.36734693877551,8.166666666666666,3,0
123,10.958333333333334,8.0,0,0
124,9.638297872340424,7.833333333333333,0,0
125,8.083333333333334,8.0,2,0
126,7.4,7.5,0,0
127,6.1063829787234045,7.833333333333333,0,0
128,5.4,7.5,0,0
129,4.477272727272728,7.333333333333333,0,0
130,3.636363636363636,7.333333333333333,2,0
131,2.863636363636364,7.333333333333333,1,0
132,2.951219512195122,6.833333333333333,2,0
133,2.761904761904762,7.0,1,0
134,3.2195121951219514,6.833333333333333,1,0
135,3.5476190476190474,7.0,2,0
136,4.073170731707317,6.833333333333333,2,0
137,4.675,6.666666666666667,1,0
138,5.2,6.666666666666667,2,0
139,5.585365853658536,6.833333333333333,2,0
140,6.435897435897436,6.5,2,0
141,6.85,6.666666666666667,1,0
142,7.45,6.666666666666667,2,0
143,8.075,6.666666666666667,2,0
144,9.0,6.5,1,0
145,9.717948717948715,6.5,2,0
146,10.435897435897436,6.5,1,0
147,10.58974358974359,6.5,1,0
148,10.21951219512195,6.833333333333333,1,1
149,10.65,6.666666666666667,2,1
150,11.102564102564102,6.5,1,1
151,10.476190476190476,7.0,0,1
152,10.926829268292684,6.833333333333333,2,1
153,11.097560975609756,6.833333333333333,0,1
154,10.568181818181818,7.333333333333333,0,2
155,11.181818181818182,7.333333333333333,2,2
156,11.409090909090908,7.333333333333333,2,2
157,9.71111111111111,7.5,2,3
158,8.311111111111112,7.5,0,3
159,6.933333333333334,7.5,1,3
160,5.586956521739131,7.666666666666667,0,3
161,4.911111111111111,7.5,0,3
162,4.311111111111111,7.5,0,3
163,3.8260869565217392,7.666666666666667,0,3
164,3.6222222222222222,7.5,0,3
165,3.4444444444444446,7.5,1,3
166,3.191489361702128,7.833333333333333,0,3
167,3.3043478260869565,7.666666666666667,0,3
168,3.369565217391304,7.666666666666667,1,3
169,3.8260869565217392,7.666666666666667,1,3
170,4.130434782608695,7.666666666666667,1,3
171,4.652173913043479,7.666666666666667,0,3
172,5.173913043478261,7.666666666666667,0,3
173,5.595744680851064,7.833333333333333,0,3
174,6.0,8.0,1,3
175,6.5625,8.0,1,3
176,7.125,8.0,1,3
177,7.708333333333333,8.0,0,3
178,8.3125,8.0,2,3
179,9.148936170212766,7.833333333333333,0,3
180,9.829787234042554,7.833333333333333,0,3
181,10.081632653061224,8.166666666666666,2,3
182,10.979166666666666,8.0,1,3
183,11.914893617021276,7.833333333333333,0,3
184,12.354166666666666,8.0,1,3
185,13.041666666666666,8.0,1,4
186,14.347826086956522,7.666666666666667,0,4
187,14.458333333333334,8.0,1,4
188,15.166666666666666,8.0,2,4
189,16.23404255319149,7.833333333333333,1,4
190,16.625,8.0,0,4
191,17.354166666666668,8.0,2,5
192,17.755102040816325,8.166666666666666,0,5
193,18.18,8.333333333333334,1,5
194,17.851063829787233,7.833333333333333,0,0
195,16.208333333333332,8.0,1,0
196,14.42,8.333333333333334,1,0
197,13.1875,8.0,0,0
198,11.5625,8.0,1,0
199,9.62,8.333333333333334,1,0
200,8.708333333333334,8.0,0,0
201,7.625,8.0,0,0
202,6.510204081632653,8.166666666666666,0,0
203,5.612244897959184,8.166666666666666,0,0
204,4.836734693877551,8.166666666666666,2,0
205,4.62,8.333333333333334,0,0
206,4.73469387755102,8.166666666666666,2,0
207,5.408163265306122,8.166666666666666,1,0
208,6.1020408163265305,8.166666666666666,0,0
209,6.9375,8.0,1,0
210,7.666666666666667,8.0,1,0
211,8.06,8.333333333333334,0,0
212,9.125,8.0,0,0
213,10.106382978723405,7.833333333333333,1,0
214,10.448979591836734,8.166666666666666,2,0
215,11.680851063829786,7.833333333333333,0,0
216,12.48936170212766,7.833333333333333,2,0
217,13.020833333333334,8.0,0,0
218,13.53061224489796,8.166666666666666,2,0
219,14.645833333333334,8.0,1,0
220,15.16326530612245,8.166666666666666,1,0
221,16.3125,8.0,1,0
222,16.816326530612244,8.166666666666666,0,1
223,17.163265306122447,8.166666666666666,0,1
224,17.510204081632654,8.166666666666666,2,1
225,18.70833333333333,8.0,0,1
226,18.59183673469388,8.166666666666666,1,1
227,17.9,8.333333333333334,0,1
228,17.979591836734695,8.166666666666666,1,2
229,17.3,8.333333333333334,0,2
230,17.08,8.333333333333334,1,2
231,15.571428571428571,8.166666666666666,1,3
232,13.88,8.333333333333334,2,3
233,13.04,8.333333333333334,0,3
234,12.34,8.333333333333334,0,3
235,11.470588235294118,8.5,0,3
236,10.96078431372549,8.5,0,3
237,11.040816326530612,8.166666666666666,0,3
238,10.5,8.333333333333334,2,3
239,10.53061224489796,8.166666666666666,0,3
240,10.708333333333334,8.0,0,3
241,10.510204081632653,8.166666666666666,0,3
242,11.333333333333334,8.0,0,3
243,11.595744680851064,7.833333333333333,1,3
244,11.708333333333334,8.0,0,3
245,12.804347826086955,7.666666666666667,2,3
246,13.391304347826088,7.666666666666667,0,3
247,13.702127659574469,7.833333333333333,0,3
248,14.933333333333334,7.5,1,3
249,15.555555555555555,7.5,1,3
250,15.822222222222225,7.5,1,3
251,16.444444444444443,7.5,1,3
252,17.08888888888889,7.5,1,3
253,18.55813953488372,7.166666666666667,0,3
254,18.377777777777776,7.5,0,3
255,19.044444444444444,7.5,2,3
256,20.627906976744185,7.166666666666667,0,3
257,20.377777777777776,7.5,0,3
258,21.044444444444444,7.5,1,3
259,22.204545454545453,7.333333333333333,1,4
260,22.90909090909091,7.333333333333333,1,4
261,23.63636363636364,7.333333333333333,0,4
262,24.363636363636363,7.333333333333333,3,4
263,25.09090909090909,7.333333333333333,0,4
264,25.818181818181817,7.333333333333333,1,4
265,26.568181818181817,7.333333333333333,1,5
266,26.711111111111112,7.5,0,5
267,27.444444444444443,7.5,1,5
268,27.0,7.166666666666667,1,0
269,23.022727272727277,7.333333333333333,1,0
270,20.772727272727277,7.333333333333333,1,0
271,20.069767441860463,7.166666666666667,0,0
272,18.13953488372093,7.166666666666667,2,0
273,16.113636363636363,7.333333333333333,0,0
274,15.634146341463415,6.833333333333333,1,0
275,15.61904761904762,7.0,0,0
276,16.51219512195122,6.833333333333333,0,0
277,17.097560975609756,6.833333333333333,0,0
278,17.73170731707317,6.833333333333333,1,0
279,18.365853658536587,6.833333333333333,2,0
280,19.02439024390244,6.833333333333333,1,0
281,19.214285714285715,7.0,1,0
282,20.875,6.666666666666667,2,0
283,21.04878048780488,6.833333333333333,1,0
284,22.3,6.666666666666667,2,0
285,23.025,6.666666666666667,1,0
286,23.75,6.666666666666667,0,0
287,23.87804878048781,6.833333333333333,2,0
288,25.225,6.666666666666667,1,0
289,25.975,6.666666666666667,0,0
290,26.121951219512194,6.833333333333333,2,0
291,26.902439024390244,6.833333333333333,1,0
292,27.73170731707317,6.833333333333333,0,0
293,27.88095238095238,7.0,1,0
294,28.046511627906977,7.166666666666667,1,0
295,28.86046511627907,7.166666666666667,0,0
296,29.046511627906977,7.166666666666667,0,0
297,26.44186046511628,7.166666666666667,0,0
298,24.428571428571427,7.0,1,0
299,24.069767441860463,7.166666666666667,1,0
300,24.813953488372093,7.166666666666667,0,0
301,23.113636363636363,7.333333333333333,0,0
302,22.11111111111111,7.5,0,0
303,23.209302325581397,7.166666666666667,0,0
304,23.363636363636363,7.333333333333333,2,0
305,20.82608695652174,7.666666666666667,1,0
306,17.84090909090909,7.333333333333333,0,0
307,13.909090909090908,7.333333333333333,1,0
308,12.295454545454543,7.333333333333333,1,0
309,12.590909090909092,7.333333333333333,0,0
310,13.16279069767442,7.166666666666667,1,0
311,13.11111111111111,7.5,0,0
312,13.666666666666666,7.5,2,0
313,14.906976744186046,7.166666666666667,1,0
314,15.181818181818182,7.333333333333333,0,0
315,16.162790697674417,7.166666666666667,1,0
316,17.142857142857142,7.0,0,0
317,17.714285714285715,7.0,0,0
318,18.452380952380956,7.0,2,0
319,19.5609756097561,6.833333333333333,1,0
320,19.73809523809524,7.0,2,0
321,20.33333333333333,7.0,1,0
322,21.51219512195122,6.833333333333333,0,0
323,21.33333333333333,7.0,0,0
324,22.341463414634145,6.833333333333333,0,0
325,22.476190476190474,7.0,1,0
326,22.09090909090909,7.333333333333333,0,0
327,23.761904761904763,7.0,0,0
328,24.357142857142858,7.0,2,0
329,24.37209302325581,7.166666666666667,0,0
330,24.930232558139537,7.166666666666667,1,0
331,25.511627906976745,7.166666666666667,0,0
332,25.545454545454547,7.333333333333333,0,0
333,26.181818181818183,7.333333333333333,0,0
334,26.155555555555555,7.5,0,1
335,26.23913043478261,7.666666666666667,0,1
336,28.022727272727277,7.333333333333333,3,1
337,28.044444444444444,7.5,0,1
338,28.065217391304348,7.666666666666667,1,1
339,28.782608695652176,7.666666666666667,0,2
340,28.872340425531917,7.833333333333333,0,2
341,28.244897959183675,8.166666666666666,0,2
342,26.76595744680851,7.833333333333333,0,3
343,24.127659574468087,7.833333333333333,0,3
344,20.693877551020407,8.166666666666666,0,3
345,18.285714285714285,8.166666666666666,2,3
346,16.06122448979592,8.166666666666666,0,3
347,14.06122448979592,8.166666666666666,0,3
348,11.96,8.333333333333334,0,3
349,10.24,8.333333333333334,1,3
350,9.89795918367347,8.166666666666666,0,3
351,9.1,8.333333333333334,0,3
352,7.775510204081633,8.166666666666666,0,3
353,6.3,8.333333333333334,1,3
354,5.92,8.333333333333334,0,3
355,4.6938775510204085,8.166666666666666,1,3
356,4.28,8.333333333333334,1,3
357,4.84,8.333333333333334,0,3
358,5.489795918367347,8.166666666666666,0,3
359,5.823529411764706,8.5,0,3
360,6.392156862745098,8.5,0,3
361,7.12,8.333333333333334,0,3
362,7.384615384615385,8.666666666666666,0,3
363,8.117647058823529,8.5,1,3
364,8.705882352941176,8.5,1,3
365,9.115384615384617,8.666666666666666,1,3
366,9.901960784313726,8.5,0,3
367,10.509803921568627,8.5,0,3
368,11.117647058823527,8.5,1,3
369,11.745098039215684,8.5,1,3
370,12.153846153846152,8.666666666666666,1,3
371,13.03921568627451,8.5,0,3
372,13.68627450980392,8.5,2,3
373,14.352941176470589,8.5,0,3
374,15.019607843137257,8.5,0,3
375,16.0,8.333333333333334,2,3
376,16.352941176470587,8.5,1,3
377,16.71153846153846,8.666666666666666,0,3
378,17.725490196078432,8.5,2,3
379,18.8,8.333333333333334,0,4
380,19.15686274509804,8.5,1,4
381,19.88235294117647,8.5,1,4
382,21.02,8.333333333333334,1,4
383,21.33333333333333,8.5,1,4
384,22.07843137254902,8.5,0,5
385,21.9622641509434,8.833333333333334,1,5
386,22.71698113207547,8.833333333333334,1,5
387,22.22,8.333333333333334,0,0
388,19.73076923076923,8.666666666666666,1,0
389,16.442307692307693,8.666666666666666,2,0
390,14.7,8.333333333333334,0,0
391,12.057692307692308,8.666666666666666,1,0
392,9.9811320754717,8.833333333333334,0,0
393,8.384615384615385,8.666666666666666,1,0
394,6.901960784313726,8.5,0,0
395,5.326923076923077,8.666666666666666,0,0
396,4.117647058823529,8.5,0,0
397,2.68,8.333333333333334,2,0
398,2.959183673469388,8.166666666666666,1,0
399,2.4489795918367347,8.166666666666666,0,0
400,2.833333333333333,8.0,1,0
401,3.208333333333333,8.0,1,0
402,3.5306122448979598,8.166666666666666,1,0
403,3.959183673469388,8.166666666666666,2,0
404,4.673913043478261,7.666666666666667,1,0
405,4.9375,8.0,2,0
406,5.531914893617022,7.833333333333333,1,0
407,6.0638297872340425,7.833333333333333,3,0
408,6.782608695652174,7.666666666666667,1,0
409,7.212765957446808,7.833333333333333,1,0
410,7.978260869565218,7.666666666666667,3,0
411,8.822222222222223,7.5,0,0
412,9.511111111111113,7.5,2,0
413,10.0,7.666666666666667,2,0
414,10.933333333333334,7.5,1,0
415,11.666666666666666,7.5,2,0
416,12.130434782608695,7.666666666666667,2,0
417,12.577777777777778,7.5,2,0
418,12.212765957446807,7.833333333333333,0,0
419,12.4468085106383,7.833333333333333,1,0
420,12.91304347826087,7.666666666666667,1,0
421,12.604166666666666,8.0,2,0
422,13.127659574468083,7.833333333333333,0,0
423,13.425531914893616,7.833333333333333,0,0
424,13.183673469387756,8.166666666666666,1,1
425,13.53061224489796,8.166666666666666,0,1
426,14.020833333333334,8.0,1,1
427,13.877551020408164,8.166666666666666,0,1
428,14.06122448979592,8.166666666666666,0,1
429,14.244897959183673,8.166666666666666,1,2
430,14.137254901960784,8.5,0,2
431,14.666666666666666,8.5,0,2
432,14.040816326530612,8.166666666666666,0,3
433,12.31372549019608,8.5,0,3
434,11.215686274509803,8.5,0,3
435,10.36,8.333333333333334,2,3
436,9.28,8.333333333333334,0,3
437,8.156862745098039,8.5,2,3
438,7.63265306122449,8.166666666666666,0,3
439,6.78,8.333333333333334,1,3
440,6.14,8.333333333333334,0,3
441,5.64,8.333333333333334,0,3
442,5.22,8.333333333333334,2,3
443,5.28,8.333333333333334,1,3
444,5.4,8.333333333333334,1,3
445,4.980392156862745,8.5,0,3
446,5.64,8.333333333333334,0,3
447,6.078431372549019,8.5,1,3
448,6.959183673469388,8.166666666666666,0,3
449,7.46,8.333333333333334,0,3
450,7.9411764705882355,8.5,2,3
451,8.74,8.333333333333334,0,3
452,9.215686274509803,8.5,2,3
453,10.26530612244898,8.166666666666666,1,3
454,10.72,8.333333333333334,0,3
455,11.4,8.333333333333334,1,3
456,12.326530612244898,8.166666666666666,1,3
457,12.76,8.333333333333334,2,3
458,13.196078431372548,8.5,0,3
459,14.18,8.333333333333334,0,3
460,15.20408163265306,8.166666666666666,1,3
461,15.31372549019608,8.5,1,3
462,16.6734693877551,8.166666666666666,1,3
463,17.408163265306122,8.166666666666666,1,3
464,17.8,8.333333333333334,0,3
465,18.93877551020408,8.166666666666666,1,3
466,19.32,8.333333333333334,1,3
467,20.489795918367346,8.166666666666666,1,3
468,21.285714285714285,8.166666666666666,0,3
469,22.081632653061224,8.166666666666666,1,4
470,22.897959183673468,8.166666666666666,1,4
471,23.714285714285715,8.166666666666666,1,4
472,24.53061224489796,8.166666666666666,0,4
473,25.346938775510203,8.166666666666666,1,4
474,25.66,8.333333333333334,2,5
475,26.5,8.333333333333334,0,5
476,27.34,8.333333333333334,1,5
477,25.918367346938776,8.166666666666666,1,0
478,23.93877551020408,8.166666666666666,1,0
479,21.142857142857142,8.166666666666666,0,0
480,17.686274509803923,8.5,1,0
481,15.294117647058824,8.5,1,0
482,13.788461538461538,8.666666666666666,0,0
483,13.92156862745098,8.5,2,0
484,13.901960784313726,8.5,0,0
485,14.098039215686274,8.5,0,0
486,14.607843137254902,8.5,0,0
487,15.28,8.333333333333334,1,0
488,15.431372549019608,8.5,0,0
489,16.12,8.333333333333334,1,0
490,16.294117647058822,8.5,0,0
491,17.489795918367346,8.166666666666666,1,0
492,17.62,8.333333333333334,0,0
493,18.18,8.333333333333334,1,0
494,19.081632653061224,8.166666666666666,1,0
495,20.041666666666668,8.0,0,0
496,20.604166666666668,8.0,1,0
497,21.659574468085108,7.833333333333333,1,0
498,22.29787234042553,7.833333333333333,1,0
499,23.43478260869565,7.666666666666667,1,0
500,24.622222222222224,7.5,0,0
501,24.80434782608696,7.666666666666667,2,0
502,26.08888888888889,7.5,1,0
503,27.431818181818183,7.333333333333333,0,0
504,27.55555555555556,7.5,2,0
505,27.67391304347826,7.666666666666667,1,0
506,29.044444444444444,7.5,1,0
507,30.477272727272727,7.333333333333333,1,0
508,29.91304347826087,7.666666666666667,1,0
509,30.77777777777778,7.5,0,0
510,30.25,7.333333333333333,0,0
511,29.695652173913043,7.666666666666667,2,0
512,27.74468085106383,7.833333333333333,1,0
513,27.148936170212767,7.833333333333333,0,0
514,26.625,8.0,0,1
515,27.3125,8.0,1,1
516,28.638297872340427,7.833333333333333,0,1
517,28.8125,8.0,1,1
518,29.58333333333333,8.0,0,1
519,29.775510204081638,8.166666666666666,0,2
520,29.98,8.333333333333334,0,2
521,30.8,8.333333333333334,0,2
522,29.9,8.333333333333334,0,3
523,28.15686274509804,8.5,0,3
524,27.19607843137255,8.5,1,3
525,26.33333333333333,8.5,1,3
526,25.62745098039216,8.5,0,3
527,24.692307692307693,8.666666666666666,0,3
528,24.51923076923077,8.666666666666666,0,3
529,24.46153846153846,8.666666666666666,0,3
530,24.5,8.666666666666666,0,3
531,25.176470588235293,8.5,2,3
532,19.90196078431373,8.5,1,3
533,16.72,8.333333333333334,1,3
534,17.387755102040817,8.166666666666666,0,3
535,15.83673469387755,8.166666666666666,0,3
536,16.367346938775512,8.166666666666666,2,3
537,17.270833333333332,8.0,0,3
538,17.46938775510204,8.166666666666666,0,3
539,18.020408163265305,8.166666666666666,2,3
540,19.404255319148938,7.833333333333333,1,3
541,19.20408163265306,8.166666666666666,1,3
542,20.659574468085108,7.833333333333333,0,3
543,21.31914893617021,7.833333333333333,2,3
544,21.081632653061224,8.166666666666666,1,3
545,22.638297872340427,7.833333333333333,0,3
546,23.31914893617021,7.833333333333333,2,3
547,23.5,8.0,0,3
548,24.680851063829788,7.833333333333333,0,3
549,25.382978723404257,7.833333333333333,1,3
550,25.541666666666668,8.0,1,3
551,26.229166666666668,8.0,0,3
552,27.51063829787234,7.833333333333333,2,3
553,27.666666666666668,8.0,0,3
554,29.0,7.833333333333333,0,3
555,29.74468085106383,7.833333333333333,2,3
556,29.854166666666668,8.0,0,3
557,31.25531914893617,7.833333333333333,1,3
558,31.354166666666668,8.0,1,3
559,32.125,8.0,1,4
560,33.59574468085106,7.833333333333333,1,4
561,34.40425531914894,7.833333333333333,0,4
562,35.212765957446805,7.833333333333333,1,4
563,36.02127659574468,7.833333333333333,1,4
564,36.85106382978724,7.833333333333333,1,5
565,36.16326530612245,8.166666666666666,0,5
566,36.97959183673469,8.166666666666666,2,5
567,36.82608695652174,7.666666666666667,0,0
568,33.57446808510638,7.833333333333333,0,0
569,31.680851063829788,7.833333333333333,2,0
570,30.47826086956522,7.666666666666667,1,0
571,28.717391304347824,7.666666666666667,1,0
572,27.73333333333333,7.5,0,0
573,25.782608695652176,7.666666666666667,1,0
574,25.244444444444444,7.5,0,0
575,24.043478260869566,7.666666666666667,0,0
576,23.82608695652174,7.666666666666667,0,0
577,24.6,7.5,2,0
578,24.75555555555556,7.5,0,0
579,24.977777777777774,7.5,2,0
580,25.355555555555554,7.5,0,0
581,26.0,7.5,1,0
582,20.4,7.5,1,0
583,11.733333333333333,7.5,0,0
584,12.636363636363637,7.333333333333333,1,0
585,12.688888888888888,7.5,1,0
586,10.113636363636363,7.333333333333333,0,0
587,10.477272727272728,7.333333333333333,1,0
588,10.886363636363637,7.333333333333333,0,0
589,11.088888888888889,7.5,1,0
590,11.295454545454543,7.333333333333333,1,0
591,11.488888888888887,7.5,0,0
592,9.232558139534884,7.166666666666667,0,0
593,9.568181818181818,7.333333333333333,2,0
594,10.181818181818182,7.333333333333333,1,0
595,10.534883720930232,7.166666666666667,1,0
596,10.627906976744184,7.166666666666667,1,0
597,10.5,7.333333333333333,0,0
598,10.83720930232558,7.166666666666667,2,0
599,10.953488372093023,7.166666666666667,1,0
600,11.069767441860463,7.166666666666667,0,0
601,11.232558139534884,7.166666666666667,1,0
602,11.113636363636363,7.333333333333333,0,0
603,11.0,7.5,2,0
604,11.155555555555557,7.5,1,1
605,12.0,7.333333333333333,1,1
606,11.911111111111111,7.5,0,1
607,12.363636363636363,7.333333333333333,2,1
608,12.659090909090908,7.333333333333333,1,1
609,13.0,7.5,0,2
610,13.391304347826088,7.666666666666667,0,2
611,13.787234042553193,7.833333333333333,1,2
612,13.155555555555557,7.5,2,3
613,12.022222222222222,7.5,0,3
614,10.76086956521739,7.666666666666667,1,3
615,10.454545454545457,7.333333333333333,0,3
616,9.818181818181818,7.333333333333333,0,3
617,9.11111111111111,7.5,0,3
618,9.13953488372093,7.166666666666667,2,3
619,8.930232558139535,7.166666666666667,0,3
620,8.659090909090908,7.333333333333333,0,3
621,8.186046511627907,7.166666666666667,0,3
622,8.465116279069768,7.166666666666667,1,3
623,8.720930232558139,7.166666666666667,1,3
624,8.976190476190476,7.0,0,3
625,9.51219512195122,6.833333333333333,2,3
626,9.833333333333334,7.0,0,3
627,10.209302325581396,7.166666666666667,2,3
628,11.023809523809524,7.0,0,3
629,11.348837209302326,7.166666666666667,0,3
630,12.238095238095235,7.0,1,3
631,12.55813953488372,7.166666666666667,1,3
632,13.476190476190476,7.0,1,3
633,14.095238095238097,7.0,0,3
634,14.738095238095235,7.0,0,3
635,15.38095238095238,7.0,0,3
636,16.023809523809526,7.0,2,3
637,17.097560975609756,6.833333333333333,1,3
638,16.953488372093023,7.166666666666667,0,3
639,18.02380952380953,7.0,2,3
640,19.170731707317078,6.833333333333333,0,3
641,19.428571428571427,7.0,1,3
642,20.142857142857142,7.0,0,3
643,21.390243902439025,6.833333333333333,3,3
644,21.61904761904762,7.0,0,3
645,21.837209302325583,7.166666666666667,0,3
646,23.09523809523809,7.0,0,3
647,23.857142857142858,7.0,2,3
648,24.61904761904762,7.0,0,3
649,25.38095238095238,7.0,0,4
650,26.166666666666668,7.0,3,4
651,27.634146341463413,6.833333333333333,0,4
652,27.785714285714285,7.0,0,4
653,28.59523809523809,7.0,1,4
654,29.404761904761905,7.0,1,5
655,29.53488372093023,7.166666666666667,1,5
656,29.681818181818183,7.333333333333333,0,5
657,28.452380952380956,7.0,1,0
658,25.32558139534884,7.166666666666667,1,0
659,22.88372093023256,7.166666666666667,0,0
660,20.952380952380956,7.0,0,0
661,18.52380952380953,7.0,2,0
662,15.953488372093023,7.166666666666667,0,0
663,14.428571428571429,7.0,2,0
664,12.761904761904765,7.0,0,0
665,12.047619047619047,7.0,0,0
666,10.404761904761903,7.0,0,0
667,9.21951219512195,6.833333333333333,2,0
668,7.761904761904762,7.0,0,0
669,6.7073170731707314,6.833333333333333,1,0
670,7.025,6.666666666666667,0,0
671,7.35,6.666666666666667,1,0
672,7.7,6.666666666666667,1,0
673,8.075,6.666666666666667,0,0
674,8.5,6.666666666666667,1,0
675,4.825,6.666666666666667,1,0
676,4.0,6.666666666666667,0,0
677,4.5,6.666666666666667,1,0
678,4.785714285714286,7.0,2,0
679,5.439024390243903,6.833333333333333,0,0
680,5.880952380952381,7.0,2,0
681,6.162790697674419,7.166666666666667,1,0
682,6.5813953488372094,7.166666666666667,0,0
683,7.190476190476191,7.0,1,0
684,7.2,7.5,1,0
685,7.711111111111111,7.5,0,0
686,8.651162790697674,7.166666666666667,0,0
687,8.866666666666667,7.5,1,0
688,9.26086956521739,7.666666666666667,0,0
689,9.704545454545457,7.333333333333333,1,0
