time,waiting time,queue length,departure rate,phase
0,0.0,0.5,0,0
1,0.0,0.5,0,0
2,0.0,0.5,0,0
3,0.0,1.0,0,0
4,0.0,1.0,0,0
5,0.0,1.3333333333333333,0,0
6,0.0,1.5,0,0
7,0.0,1.5,0,0
8,0.0,1.8333333333333333,0,0
9,0.0,2.0,0,0
10,0.0,1.8333333333333333,0,0
11,0.0,1.8333333333333333,0,0
12,0.0,2.1666666666666665,0,0
13,0.0714285714285714,2.333333333333333,0,0
14,0.1666666666666666,2.0,0,0
15,0.2857142857142857,2.333333333333333,1,0
16,0.4285714285714285,2.333333333333333,0,0
17,0.6153846153846154,2.1666666666666665,0,0
18,0.7333333333333333,2.5,0,0
19,0.9333333333333332,2.5,0,0
20,1.2142857142857142,2.333333333333333,0,0
21,1.25,2.6666666666666665,0,0
22,1.411764705882353,2.833333333333333,2,0
23,1.8125,2.6666666666666665,0,0
24,1.8888888888888888,3.0,2,0
25,2.2777777777777777,3.0,1,0
26,2.823529411764706,2.833333333333333,0,0
27,2.8947368421052637,3.1666666666666665,0,0
28,3.1052631578947367,3.1666666666666665,0,0
29,3.6666666666666665,3.0,1,0
30,3.842105263157895,3.1666666666666665,1,0
31,4.05,3.333333333333333,1,0
32,4.45,3.333333333333333,1,0
33,4.454545454545454,3.6666666666666665,0,0
34,5.095238095238095,3.5,0,0
35,5.571428571428571,3.5,1,0
36,5.521739130434782,3.8333333333333335,1,0
37,5.869565217391305,3.8333333333333335,0,1
38,6.9523809523809526,3.5,0,1
39,6.869565217391305,3.8333333333333335,2,1
40,7.083333333333333,4.0,0,1
41,7.583333333333333,4.0,1,1
42,8.083333333333334,4.0,1,2
43,8.28,4.166666666666667,0,2
44,8.148148148148149,4.5,0,2
45,6.538461538461538,4.333333333333333,1,3
46,5.0,4.333333333333333,1,3
47,3.392857142857143,4.666666666666667,0,3
48,2.310344827586207,4.833333333333333,3,3
49,1.6428571428571428,4.666666666666667,0,3
50,1.0344827586206895,4.833333333333333,0,3
51,0.7741935483870968,5.166666666666667,0,3
52,0.8666666666666667,5.0,0,3
53,0.967741935483871,5.166666666666667,1,3
54,1.096774193548387,5.166666666666667,0,3
55,1.28125,5.333333333333333,0,3
56,1.5151515151515151,5.5,1,3
57,1.8484848484848484,5.5,0,3
58,2.121212121212121,5.5,1,3
59,2.5,5.333333333333333,2,3
60,2.647058823529412,5.666666666666667,0,3
61,3.121212121212121,5.5,1,3
62,3.5454545454545454,5.5,1,3
63,3.742857142857143,5.833333333333333,0,3
64,4.055555555555555,6.0,2,3
65,4.472222222222222,6.0,1,3
66,4.916666666666667,6.0,0,3
67,5.243243243243243,6.166666666666667,1,3
68,5.916666666666667,6.0,0,3
69,6.444444444444445,6.0,0,3
70,6.631578947368421,6.333333333333333,2,3
71,7.351351351351352,6.166666666666667,0,3
72,7.487179487179487,6.5,2,3
73,8.076923076923077,6.5,1,3
74,8.921052631578947,6.333333333333333,0,3
75,9.075,6.666666666666667,1,3
76,10.18421052631579,6.333333333333333,1,3
77,10.58974358974359,6.5,1,3
78,10.707317073170731,6.833333333333333,0,3
79,11.65,6.666666666666667,1,3
80,12.024390243902438,6.833333333333333,1,3
81,12.452380952380953,7.0,1,3
82,13.51219512195122,6.833333333333333,0,4
83,13.55813953488372,7.166666666666667,2,4
84,14.27906976744186,7.166666666666667,0,4
85,14.704545454545457,7.333333333333333,1,4
86,15.477272727272728,7.333333333333333,1,4
87,15.88888888888889,7.5,0,5
88,16.666666666666668,7.5,2,5
89,17.065217391304348,7.666666666666667,0,5
90,14.772727272727272,7.333333333333333,0,0
91,11.77777777777778,7.5,1,0
92,9.195652173913045,7.666666666666667,1,0
